Year,Name,First Name,Last Name,Position,Height (Inches),Weight (Pounds),Forty Yard Dash (Seconds),Vertical Leap (Inches),Broad Jump (Inches),Round,Pick,College
1999,Craig Yeast,Craig,Yeast,WR,68,164,4.47,32.5,112,4,98,Kentucky
1999,Peppi Zellner,Peppi,Zellner,DE,77,246,4.72,35.5,122,4,132,Fort Valley State
2000,Darnell Alford,Darnell,Alford,OT,76,334,5.56,25,94,6,188,Boston College
2000,Rashard Anderson,Rashard,Anderson,CB,75,206,4.55,34,123,1,23,Jackson State
2000,Reggie Austin,Reggie,Austin,CB,70,175,4.44,35,119,4,125,Wake Forest
2000,Mark Baniewicz,Mark,Baniewicz,OT,78,312,5.34,28,96,7,247,Syracuse
2000,Rashidi Barnes,Rashidi,Barnes,FS,73,208,4.62,35,114,7,225,Colorado
2000,David Barrett,David,Barrett,CB,70,199,4.44,37.5,116,4,102,Arkansas
2000,William Bartee,William,Bartee,CB,73,192,4.43,38.5,124,2,54,Oklahoma
2000,Robert Bean,Robert,Bean,CB,71,178,4.5,34.5,122,5,133,Mississippi State
2000,Anthony Becht,Anthony,Becht,TE,78,270,4.78,33.5,123,1,27,West Virginia
2000,Rogers Beckett,Rogers,Beckett,FS,74,207,4.62,39.5,119,2,43,Marshall
2000,Brad Bedell,Brad,Bedell,OG,77,302,5.07,31.5,103,6,206,Colorado
2000,Marcus Bell,Marcus,Bell,ILB,74,237,4.78,31.5,111,4,116,Arizona
2000,Michael Boireau,Michael,Boireau,DE,76,274,5.09,29,105,2,56,Miami (FL)
2000,Matt Bowen,Matt,Bowen,SS,73,201,4.49,33,115,6,198,Iowa
2000,Tom Brady,Tom,Brady,QB,77,211,5.28,24.5,99,6,199,Michigan
2000,Mike Brown,Mike,Brown,SS,70,204,4.59,36,116,2,39,Nebraska
2000,Keith Bulluck,Keith,Bulluck,OLB,75,244,4.47,38,119,1,30,Syracuse
2000,Plaxico Burress,Plaxico,Burress,WR,78,231,4.59,33,115,1,8,Michigan State
2000,Cooper Carlisle,Cooper,Carlisle,OG,78,297,5.16,31,100,4,112,Florida
2000,Giovanni Carmazzi,Giovanni,Carmazzi,QB,75,224,4.74,36.5,119,3,65,Hofstra
2000,Leonardo Carson,Leonardo,Carson,DE,74,283,5.06,28,106,4,113,Auburn
2000,Tyrone Carter,Tyrone,Carter,SS,68,190,4.5,41,121,4,118,Minnesota
2000,Doug Chapman,Doug,Chapman,RB,70,215,4.56,38.5,128,3,88,Marshall
2000,Joey Chustz,Joey,Chustz,OT,79,304,5.08,31,103,4,123,Louisiana Tech
2000,Kendrick Clancy,Kendrick,Clancy,DT,73,283,5.25,27.5,108,3,72,Mississippi
2000,Travis Claridge,Travis,Claridge,OG,77,303,5.15,31.5,100,2,37,USC
2000,Chad Clifton,Chad,Clifton,OT,77,334,5.05,30.5,102,2,44,Tennessee
2000,Chris Cole,Chris,Cole,WR,73,191,4.37,37.5,125,3,70,Texas A&M
2000,Cosey Coleman,Cosey,Coleman,OG,76,322,5.4,28,101,2,51,Tennessee
2000,Laveranues Coles,Laveranues,Coles,WR,71,192,4.41,34,115,3,78,Florida State
2000,JaJuan Dawson,JaJuan,Dawson,WR,73,199,4.55,34,117,3,79,Tulane
2000,Reuben Droughns,Reuben,Droughns,RB,71,215,4.66,30,115,3,81,Oregon
2000,Deon Dyer,Deon,Dyer,FB,71,260,4.99,28,104,4,117,North Carolina
2000,John Engelberger,John,Engelberger,DE,76,260,4.73,34,115,2,35,Virginia Tech
2000,Erik Flowers,Erik,Flowers,DE,76,271,4.75,33,114,1,26,Arizona State
2000,John Frank,John,Frank,DE,76,280,4.78,37,117,6,178,Utah
